entrenador,tm_id,imagen,imagen_local
Marcelino García Toral,5095,https://upload.wikimedia.org/wikipedia/commons/7/7e/ECH3035.jpg,/assets/coaches/marcelino_garcia_toral.jpg
Jagoba Arrasate,29192,https://upload.wikimedia.org/wikipedia/commons/d/d4/Jagoba_Arrasate_%28octubre_de_2013%29.jpg,/assets/coaches/jagoba_arrasate.jpg
Xavi Hernández,59876,https://upload.wikimedia.org/wikipedia/commons/5/53/Xavi_13981129001173637176666027076571.jpg,/assets/coaches/xavi_hernandez.jpg
Diego Simeone,2868,https://upload.wikimedia.org/wikipedia/commons/9/9b/25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Diego_Simeone_-_240422_192621-2_%28cropped%29.jpg,
Andoni Iraola,60677,,/assets/coaches/andoni_iraola.jpg
Manuel Pellegrini,1558,https://upload.wikimedia.org/wikipedia/commons/4/4d/Manuel_pellegrini_2022m_recepci%C3%B3n.jpg,
Carlo Ancelotti,523,https://upload.wikimedia.org/wikipedia/commons/a/a6/26.01.2026_-_Reuni%C3%A3o_com_o_Presidente_da_Federa%C3%A7%C3%A3o_Internacional_de_Futebol_%28FIFA%29%2C_Gianni_Infantino_-_55062589679_%28Carlo_Ancelotti%29_%28cropped%29.jpg,/assets/coaches/carlo_ancelotti.jpg
Imanol Alguacil,33333,https://upload.wikimedia.org/wikipedia/commons/1/19/Imanol_Alguacil_2021.jpg,/assets/coaches/imanol_alguacil.jpg
Ernesto Valverde,1559,https://upload.wikimedia.org/wikipedia/commons/5/59/Valverde_2014.jpg,/assets/coaches/ernesto_valverde.jpg
Pepe Bordalás,6440,https://upload.wikimedia.org/wikipedia/commons/e/e4/Jos%C3%A9_Bordal%C3%A1s_2021.png,
Míchel Sánchez,33636,,/assets/coaches/michel.jpg
José Luis Mendilibar,2662,https://upload.wikimedia.org/wikipedia/commons/c/cf/Mendilibar_2.JPG,
Francisco Rodríguez,28876,https://upload.wikimedia.org/wikipedia/commons/5/5b/Francisco_%C2%ABMorochito%C2%BB_Rodr%C3%ADguez.jpg,/assets/coaches/francisco.webp
Quique Sánchez Flores,1553,https://upload.wikimedia.org/wikipedia/commons/8/85/Quique_Flores.JPG,
Eduardo Coudet,38808,https://upload.wikimedia.org/wikipedia/commons/6/62/Eduardo_Coudet_2020.png,
Luis García Plaza,6444,https://upload.wikimedia.org/wikipedia/commons/1/19/Luis_Garc%C3%ADa_Plaza_%282013%29.jpg,/assets/coaches/luis_garcia_plaza.jpg
Vicente Moreno,19601,https://upload.wikimedia.org/wikipedia/commons/1/17/G%C3%B3mez_Moreno_-_Magu%C3%A9s.jpg,/assets/coaches/vicentemoreno.jpg
Julen Lopetegui,6615,https://upload.wikimedia.org/wikipedia/commons/2/25/Julen_Lopetegui_2017_%28cropped%29.jpg,/assets/coaches/julen_lopetegui.jpg
Unai Emery,5075,https://upload.wikimedia.org/wikipedia/commons/0/07/Unai_Emery_-_Sevilla_%28cropped%29.jpg,
Hansi Flick,67,,/assets/coaches/hansi_flick.jpg
Íñigo Pérez,107085,https://commons.wikimedia.org/wiki/Special:FilePath/CSC_0149_%2829636216028%29_Perez_%28cropped%29.jpg?width=600,/assets/coaches/inigo_perez.jpg
García Pimienta,23730,https://upload.wikimedia.org/wikipedia/commons/f/f4/Francisco_Javier_Garc%C3%ADa_Pimienta_%28cropped%29.JPG,/assets/coaches/garcia_pimienta.jpg
Rubén Baraja,19552,,/assets/coaches/ruben_baraja.jpg
Quique Setién,12440,https://upload.wikimedia.org/wikipedia/commons/a/af/Quique_seti%C3%A9n.jpg,
Jorge Sampaoli,10819,https://upload.wikimedia.org/wikipedia/commons/d/d1/Jorge_Sampaoli_2018.jpg,
Eder Sarabia,49401,,/assets/coaches/edersarabia.jpg
Sergio González,,https://upload.wikimedia.org/wikipedia/commons/4/45/Sergio_Gonz%C3%A1lez_2.jpg,
Robert Moreno,,https://upload.wikimedia.org/wikipedia/commons/c/cd/Robert_Moreno.jpg,/assets/coaches/robert_moreno.jpg
Alessio Lisci,,,/assets/coaches/lisci.jpeg
Pablo Machín,,,/assets/coaches/pablomachin.jpg
Carlos Carvalhal,,https://upload.wikimedia.org/wikipedia/commons/6/68/Carvalhal.JPG,/assets/coaches/carlos_carvalhal.jpg
Javier Aguirre,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Javier_Aguirre.png,/assets/coaches/javier_aguirre.jpg
Pacheta,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Pacheta_en_esRadio_%28cropped%29_%28cropped%29.jpg,/assets/coaches/pacheta.jpg
Diego Martínez,,,/assets/coaches/diegomartinez.jpg
Rubi,,,/assets/coaches/rubi.jpg
Gennaro Gattuso,,https://upload.wikimedia.org/wikipedia/commons/0/01/Lausanne_vs_Sion_27_february_2013_-_Gennaro_Gattuso.jpg,/assets/coaches/gennaro_gattuso.jpg
Rafael Benítez,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Shahter-Reak_M_2015_%282%29.jpg,
Claudio Giráldez,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Gran_Pe%C3%B1a_-_R%C3%A1pido_de_Bouzas%2C_no_Estadio_Municipal_de_Barreiro_04_-_Manu_Fern%C3%A1ndez.jpg,
Paulo Pezzolano,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Paulo_Pezzolano_12072025_%281%29_%28portrait%29.jpg,
Manolo González,,,/assets/coaches/manologonzalez.jpg
Borja Jiménez,,,/assets/coaches/borjajimenez.jpg
Paco López,,https://commons.wikimedia.org/wiki/Special:FilePath/Francisco_L%C3%B3pez_Fern%C3%A1ndez_%28cropped%29.jpg?width=600,/assets/coaches/paco_lopez.jpg
Gaizka Garitano,,https://upload.wikimedia.org/wikipedia/commons/7/77/Gaizka_Garitano_2017.png,
Iván Ania,,,/assets/coaches/ivanania.jpg
Julián Calero,,https://upload.wikimedia.org/wikipedia/commons/4/43/Julian_calero.png,/assets/coaches/julian_calero.jpg
Sergio Pellicer,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Sergio_Badilla_Castillo_en_Feria_del_Libro_2013.JPG,
Imanol Idiakez,,https://upload.wikimedia.org/wikipedia/commons/8/84/Spartak-aek-15_%E2%80%94_%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F_%282%29_Imanol_Idiakez_%28cropped%29.jpg,/assets/coaches/imanol_idiakez.jpg
Cristóbal Parralo,,https://upload.wikimedia.org/wikipedia/commons/1/12/Manjar%C3%ADn.jpg,
Veljko Paunović,,,/assets/coaches/paunovic.jpg
José Alberto López,,,/assets/coaches/joselabertolopez.jpg
Rubén Albés,,,/assets/coaches/rubenalbes.jpg
Víctor Fernández,,https://upload.wikimedia.org/wikipedia/commons/0/06/Victor_Fernandez.jpg,/assets/coaches/victor_fernandez.jpg
Joseba Etxeberria,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Joseba_etxeberria.jpg,/assets/coaches/joseba_etxeberria.jpg
Antonio Hidalgo,,https://upload.wikimedia.org/wikipedia/commons/4/43/Spartak-aek-15_%E2%80%94_%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F_%283%29.jpg,/assets/coaches/antonio_hidalgo.jpg
Alberto González,,https://upload.wikimedia.org/wikipedia/commons/4/40/Alberto_Rex_Gonz%C3%A1lez.png,/assets/coaches/albertogonzalez.jpg
Jon Pérez Bolo,,https://upload.wikimedia.org/wikipedia/commons/9/97/Jon_P%C3%A9rez_Bolo_2020.png,
Dick Schreuder,,,/assets/coaches/schrueder.jpeg
Fernando Estévez,,,/assets/coaches/fernandoestevez.jpg
Pepe Mel,,,/assets/coaches/pepemel.jpg
Guillermo Fernández Romo,,,/assets/coaches/romo.webp
Fran Escribá,,https://upload.wikimedia.org/wikipedia/commons/5/58/Fran_Escrib%C3%A1_2013.png,
Javier Calleja,,https://upload.wikimedia.org/wikipedia/commons/5/54/Javier_Calleja_%28Octubre_2019%29_%28cropped%29.jpg,
Álvaro Cervera,,https://upload.wikimedia.org/wikipedia/commons/5/52/Alvaro_Cervera_2021.jpg,
Asier Garitano,,https://upload.wikimedia.org/wikipedia/commons/b/b8/Asier_Garitano_SD_Eibar_%28cropped%29.jpg,
Fran Fernández,,https://upload.wikimedia.org/wikipedia/commons/4/49/UD_Almeria_vs_FC_Barcelona%2C_2022-08-14_%28cropped_Fran_Fernandez%29.jpg,
Natxo González,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Natxo_Gonz%C3%A1lez_%282016%29.jpg,
Óscar Cano,,https://upload.wikimedia.org/wikipedia/commons/9/9c/Oscar_Cano_entrenador_%28cropped%29.jpg,
Carles Martínez Novell,,,/assets/coaches/carlesmartinez.jpeg
